SaleID;DateKey;ProductKey;CustomerKey;StoreKey;PromotionKey;Quantity;Revenue;Cost;Margin
106;2025-12-20;P015;C0932;S002;PR04;8;998;586,35;411,65
107;2023-05-07;P053;C0498;S011;PR04;5;959;627,33;331,67
108;2024-06-14;P088;C0816;S015;PR02;6;42;35,35;6,65
109;2022-05-22;P064;C0910;S003;PR10;4;369;255,76;113,24
110;2025-08-29;P063;C0593;S016;PR01;6;868;456,67;411,33
111;2022-06-14;P092;C0305;S019;PR07;6;85;68,48;16,52
112;2022-11-10;P080;C0067;S006;PR04;3;414;253,9;160,1
113;2022-01-21;P016;C0230;S014;PR06;4;452;318,6;133,4
114;2025-01-10;P070;C0983;S005;PR08;6;993;743,88;249,12
115;2025-02-28;P066;C0333;S005;PR07;8;589;454,78;134,22
116;2024-09-10;P013;C0905;S006;PR07;7;48;31,27;16,73
117;2022-11-01;P047;C0277;S018;PR06;4;102;78,6;23,4
118;2023-01-06;P009;C0873;S018;PR04;3;495;267,75;227,25
119;2024-05-02;P063;C0584;S019;PR04;8;454;310,53;143,47
120;2023-01-19;P034;C0721;S002;PR09;6;660;335,06;324,94
121;2023-03-21;P081;C0784;S017;PR05;8;152;97,61;54,39
122;2023-03-01;P091;C0144;S001;PR09;9;134;84,11;49,89
123;2022-06-10;P029;C0251;S009;PR09;9;53;44,64;8,36
124;2025-04-16;P037;C0796;S013;PR04;9;656;419,35;236,65
125;2023-09-21;P043;C0691;S004;PR02;1;97;79,3;17,7
126;2024-06-13;P086;C0952;S005;PR02;3;294;191,79;102,21
127;2023-05-05;P064;C0080;S018;PR09;9;363;249,27;113,73
128;2024-10-13;P024;C0057;S010;PR09;4;699;435,3;263,7
129;2022-11-23;P071;C0366;S004;PR03;2;100;72,4;27,6
130;2023-08-21;P034;C0308;S013;PR05;1;981;744,28;236,72
131;2024-10-11;P048;C0174;S013;PR05;5;626;486,32;139,68
132;2022-10-16;P012;C0462;S017;PR02;4;740;549,73;190,27
133;2023-08-16;P023;C0750;S008;PR02;5;979;602,56;376,44
134;2023-07-27;P079;C0678;S004;PR10;5;91;56,03;34,97
135;2025-10-09;P097;C0596;S003;PR01;8;164;101,97;62,03
136;2022-01-28;P013;C0493;S011;PR02;6;57;29,25;27,75
137;2024-08-11;P087;C0560;S012;PR07;3;493;409,22;83,78
138;2022-02-12;P096;C0639;S009;PR01;9;190;108,02;81,98
139;2023-02-27;P045;C0681;S015;PR01;8;59;32,79;26,21
140;2022-06-26;P099;C0866;S013;PR09;9;192;133,12;58,88
141;2023-06-13;P065;C0374;S005;PR02;4;443;228,85;214,15
142;2024-08-23;P047;C0955;S005;PR04;8;218;172,93;45,07
143;2022-07-17;P058;C0349;S019;PR03;3;907;731,65;175,35
144;2023-09-02;P005;C0067;S011;PR04;5;875;559,33;315,67
145;2024-04-21;P077;C0330;S009;PR07;7;241;202,44;38,56
146;2024-05-02;P005;C0852;S003;PR10;1;621;380,98;240,02
147;2022-01-22;P060;C0194;S018;PR02;1;817;482,91;334,09
148;2025-02-09;P096;C0155;S013;PR02;3;694;587,4;106,6
149;2024-12-16;P021;C0160;S012;PR09;4;469;275,59;193,41
150;2024-12-25;P024;C0696;S009;PR06;1;447;293,0;154,0
151;2024-04-21;P018;C0266;S010;PR07;8;919;656,31;262,69
152;2022-04-08;P021;C0168;S013;PR05;2;467;286,22;180,78
153;2025-03-13;P054;C0145;S020;PR05;5;664;421,29;242,71
154;2023-03-11;P010;C0186;S020;PR04;6;451;339,27;111,73
155;2023-09-29;P024;C0886;S013;PR08;6;341;256,79;84,21
156;2025-01-14;P085;C0865;S009;PR07;6;882;689,08;192,92
157;2023-08-11;P089;C0774;S010;PR10;1;814;576,15;237,85
158;2022-12-10;P060;C0423;S019;PR02;3;171;99,48;71,52
159;2025-08-10;P057;C0786;S006;PR02;3;843;519,78;323,22
160;2023-07-25;P023;C0457;S007;PR06;8;64;52,18;11,82
161;2023-09-03;P022;C0840;S015;PR01;6;343;259,58;83,42
162;2022-08-31;P068;C0345;S019;PR07;2;431;228,78;202,22
163;2023-07-15;P034;C0735;S014;PR08;1;280;213,85;66,15
164;2024-08-17;P070;C0554;S016;PR10;4;238;146,54;91,46
165;2022-02-01;P028;C0516;S014;PR08;1;639;324,69;314,31
166;2023-01-26;P095;C0788;S020;PR03;5;66;44,17;21,83
167;2022-10-04;P099;C0796;S002;PR07;8;664;537,3;126,7
168;2023-06-16;P039;C0936;S009;PR01;2;792;519,17;272,83
169;2025-03-23;P042;C0705;S003;PR03;8;707;598,18;108,82
170;2023-01-18;P023;C0104;S006;PR06;8;652;366,64;285,36
171;2024-12-27;P070;C0247;S005;PR09;6;860;535,62;324,38
172;2024-06-02;P080;C0812;S014;PR05;8;322;162,87;159,13
173;2022-08-02;P002;C0023;S015;PR05;2;209;108,18;100,82
174;2023-01-11;P024;C0953;S018;PR09;7;942;587,82;354,18
175;2024-01-14;P017;C0815;S017;PR09;8;791;541,78;249,22
176;2022-08-01;P065;C0525;S009;PR06;4;708;412,75;295,25
177;2022-03-20;P070;C0144;S019;PR05;9;878;490,15;387,85
178;2023-09-20;P069;C0730;S009;PR10;6;596;385,75;210,25
179;2023-08-27;P060;C0695;S016;PR02;3;883;494,25;388,75
180;2024-02-21;P050;C0863;S006;PR08;4;355;255,89;99,11
181;2025-11-05;P093;C0754;S008;PR08;4;874;729,22;144,78
182;2024-09-27;P012;C0193;S003;PR07;1;239;186,97;52,03
183;2023-11-11;P047;C0465;S005;PR08;1;848;487,88;360,12
184;2022-02-27;P067;C0784;S007;PR03;1;679;565,54;113,46
185;2024-11-15;P065;C0375;S001;PR03;4;996;759,84;236,16
186;2024-05-30;P027;C0677;S004;PR02;1;631;349,73;281,27
187;2023-03-23;P048;C0692;S016;PR01;6;138;96,99;41,01
188;2022-03-07;P088;C0629;S014;PR03;2;640;536,49;103,51
189;2025-07-01;P062;C0266;S001;PR03;1;923;492,76;430,24
190;2024-12-03;P044;C0378;S004;PR07;7;101;60,08;40,92
191;2025-01-25;P019;C0550;S010;PR10;6;32;20,19;11,81
192;2024-10-08;P059;C0556;S011;PR09;1;988;533,97;454,03
193;2022-08-15;P008;C0863;S007;PR01;9;952;575,71;376,29
194;2024-02-13;P055;C0074;S004;PR08;6;497;368,93;128,07
195;2023-11-10;P047;C0438;S001;PR01;2;318;212,12;105,88
196;2025-12-30;P002;C0881;S001;PR03;7;111;71,86;39,14
197;2023-08-24;P094;C0226;S017;PR04;3;769;500,76;268,24
198;2023-01-14;P094;C0819;S010;PR08;7;715;547,6;167,4
199;2025-04-16;P039;C0308;S005;PR01;9;709;600,49;108,51
200;2025-12-21;P045;C0966;S007;PR02;5;741;523,17;217,83
201;2023-12-10;P032;C0348;S008;PR05;1;295;225,1;69,9
202;2022-11-03;P065;C0476;S002;PR06;5;323;203,62;119,38
203;2024-02-18;P038;C0315;S009;PR05;8;887;710,69;176,31
204;2023-05-19;P077;C0525;S004;PR03;8;806;521,57;284,43
205;2022-09-25;P011;C0425;S012;PR10;3;856;708,16;147,84
206;2022-01-08;P010;C0524;S011;PR07;4;292;221,99;70,01
207;2023-05-23;P059;C0562;S005;PR01;8;431;322,22;108,78
208;2023-04-21;P090;C1000;S012;PR02;8;55;33,09;21,91
209;2025-08-13;P055;C0825;S004;PR09;7;441;343,38;97,62
210;2022-06-13;P020;C0946;S013;PR04;6;497;266,81;230,19
211;2023-04-30;P081;C0249;S001;PR08;4;521;358,61;162,39
212;2024-12-31;P017;C0631;S018;PR09;9;357;270,39;86,61
213;2023-07-21;P068;C0569;S004;PR07;2;601;486,36;114,64
214;2024-06-23;P005;C0182;S004;PR01;2;647;452,5;194,5
215;2023-07-13;P060;C0962;S008;PR05;1;429;253,29;175,71
216;2022-08-26;P023;C0776;S020;PR06;3;482;384,2;97,8
217;2025-02-01;P046;C0106;S006;PR08;3;532;409,0;123,0
218;2025-05-18;P052;C0191;S004;PR10;4;100;55,37;44,63
219;2023-07-08;P010;C0137;S004;PR08;3;498;401,06;96,94
220;2024-04-07;P046;C0700;S011;PR09;6;405;338,56;66,44
221;2023-04-13;P028;C0120;S009;PR09;9;439;302,12;136,88
222;2025-07-15;P097;C0754;S014;PR04;8;459;235,66;223,34
223;2023-01-21;P043;C0831;S004;PR06;6;54;44,31;9,69
224;2024-02-14;P026;C0072;S013;PR03;8;914;496,27;417,73
225;2024-04-27;P055;C0755;S006;PR01;8;814;587,38;226,62
226;2023-01-22;P048;C0131;S013;PR06;6;520;332,97;187,03
227;2024-05-26;P029;C0457;S003;PR01;2;726;615,08;110,92
228;2022-09-16;P027;C0781;S007;PR09;5;203;166,66;36,34
229;2022-10-10;P018;C0905;S001;PR06;4;577;446,93;130,07
230;2022-02-09;P060;C0479;S011;PR01;6;167;95,15;71,85
231;2023-05-01;P074;C0985;S002;PR03;2;283;210,76;72,24
232;2024-07-17;P069;C0052;S005;PR01;4;624;436,96;187,04
233;2022-08-08;P074;C0574;S014;PR02;8;859;470,19;388,81
234;2025-02-26;P021;C0119;S013;PR06;1;508;395,29;112,71
235;2024-10-11;P024;C0877;S016;PR07;3;645;342,02;302,98
236;2024-10-20;P003;C0264;S015;PR01;4;878;587,0;291,0
237;2023-09-05;P095;C0239;S003;PR10;2;301;195,44;105,56
238;2024-07-16;P062;C0351;S006;PR05;2;634;495,9;138,1
239;2023-11-19;P002;C0893;S009;PR06;6;221;143,57;77,43
240;2023-09-05;P066;C0255;S003;PR04;6;593;440,6;152,4
241;2022-09-17;P042;C0685;S013;PR06;3;625;417,12;207,88
242;2024-09-16;P034;C0309;S013;PR05;8;436;306,82;129,18
243;2024-08-23;P042;C0749;S007;PR07;3;336;196,35;139,65
244;2023-01-01;P020;C0831;S005;PR04;2;247;141,0;106,0
245;2023-06-28;P097;C0607;S008;PR01;5;935;699,82;235,18
246;2023-10-11;P068;C0849;S008;PR02;7;87;47,22;39,78
247;2024-03-24;P045;C0495;S007;PR06;1;816;458,26;357,74
248;2024-11-05;P075;C0057;S019;PR10;2;833;690,83;142,17
249;2025-02-26;P042;C0950;S007;PR02;2;499;293,74;205,26
250;2023-07-29;P047;C0403;S004;PR05;8;696;426,75;269,25
251;2025-02-06;P005;C0067;S010;PR04;6;120;86,59;33,41
252;2024-10-09;P089;C0046;S013;PR07;4;262;171,38;90,62
253;2023-11-01;P049;C0606;S004;PR04;4;109;75,83;33,17
254;2022-09-26;P037;C0650;S019;PR07;5;968;532,99;435,01
255;2025-03-31;P034;C0369;S010;PR08;3;920;676,52;243,48
256;2025-07-07;P073;C0605;S007;PR07;4;619;343,42;275,58
257;2024-07-12;P070;C0232;S005;PR02;4;146;111,21;34,79
258;2025-01-30;P018;C0402;S003;PR01;7;638;435,92;202,08
259;2022-09-04;P078;C0908;S002;PR05;7;853;670,17;182,83
260;2022-05-11;P019;C0561;S011;PR07;1;418;234,26;183,74
261;2022-12-19;P078;C0023;S010;PR01;3;321;202,92;118,08
262;2022-07-15;P040;C0574;S013;PR08;9;513;408,55;104,45
263;2024-07-18;P017;C0267;S007;PR03;6;775;604,15;170,85
264;2025-11-06;P060;C0841;S010;PR07;6;716;600,02;115,98
265;2024-10-18;P099;C0118;S004;PR03;4;795;459,26;335,74
266;2023-10-07;P093;C0952;S020;PR04;9;440;303,01;136,99
267;2022-08-15;P042;C0600;S016;PR08;3;632;319,96;312,04
268;2023-12-02;P081;C0601;S020;PR02;8;972;814,37;157,63
269;2022-09-22;P072;C0055;S006;PR06;6;784;440,05;343,95
270;2025-10-27;P065;C0153;S009;PR10;2;161;131,48;29,52
271;2025-12-28;P053;C0239;S013;PR09;3;920;678,42;241,58
272;2023-10-08;P100;C0265;S007;PR10;1;272;225,19;46,81
273;2022-07-30;P007;C0268;S018;PR09;3;92;53,99;38,01
274;2025-11-01;P005;C0907;S014;PR05;4;233;144,65;88,35
275;2025-11-19;P024;C0113;S005;PR03;6;398;221,9;176,1
276;2024-07-31;P028;C0166;S013;PR06;7;318;206,02;111,98
277;2025-10-19;P062;C0668;S008;PR09;3;964;801,69;162,31
278;2023-04-02;P017;C0008;S015;PR06;7;398;278,56;119,44
279;2023-12-26;P020;C0714;S019;PR04;4;511;329,92;181,08
280;2025-06-03;P003;C0217;S009;PR05;1;703;431,43;271,57
281;2024-09-08;P037;C0431;S006;PR07;1;971;684,23;286,77
282;2025-02-28;P090;C0292;S014;PR10;8;323;243,26;79,74
283;2023-08-11;P015;C0893;S010;PR03;7;945;607,05;337,95
284;2023-04-21;P051;C0050;S009;PR09;4;948;550,61;397,39
285;2024-09-12;P048;C0107;S017;PR01;1;517;364,36;152,64
286;2025-07-24;P008;C0009;S013;PR08;6;761;477,87;283,13
287;2022-06-05;P013;C0745;S017;PR05;7;952;807,31;144,69
288;2025-05-26;P048;C0700;S019;PR10;6;965;631,46;333,54
289;2022-07-09;P003;C0456;S013;PR09;6;256;166,93;89,07
290;2025-12-11;P065;C0323;S009;PR02;8;249;197,66;51,34
291;2024-09-07;P073;C0309;S001;PR01;6;26;15,28;10,72
292;2023-06-30;P031;C0850;S001;PR10;2;726;379,77;346,23
293;2022-02-10;P026;C0622;S005;PR07;7;275;219,68;55,32
294;2022-11-03;P081;C0995;S008;PR10;4;190;134,17;55,83
295;2024-07-31;P056;C0145;S018;PR09;3;571;337,49;233,51
296;2022-12-04;P034;C0740;S004;PR05;8;307;190,33;116,67
297;2025-08-30;P009;C0821;S001;PR04;5;759;492,57;266,43
298;2025-01-03;P062;C0412;S015;PR04;4;253;186,75;66,25
299;2024-08-10;P013;C0114;S020;PR08;4;892;592,17;299,83
300;2022-10-06;P069;C0575;S004;PR01;5;714;455,92;258,08
301;2025-04-14;P041;C0399;S009;PR01;4;512;395,86;116,14
302;2024-06-14;P077;C0275;S020;PR08;3;230;120,78;109,22
303;2022-09-30;P001;C0124;S010;PR02;4;881;641,71;239,29
304;2024-04-16;P089;C0086;S015;PR10;5;386;253,65;132,35
305;2023-09-12;P047;C0582;S003;PR06;2;248;153,07;94,93
306;2024-05-11;P004;C0047;S002;PR02;7;364;300,17;63,83
307;2024-07-19;P100;C0711;S005;PR05;5;786;607,01;178,99
308;2022-10-16;P063;C0876;S001;PR03;9;96;55,37;40,63
309;2023-12-25;P052;C0944;S011;PR07;6;479;348,86;130,14
310;2024-06-11;P010;C0201;S012;PR09;1;284;223,74;60,26
311;2022-09-29;P028;C0276;S003;PR02;9;523;442,6;80,4
312;2024-12-25;P006;C0549;S016;PR07;5;763;568,01;194,99
313;2023-04-28;P027;C0715;S014;PR08;9;668;495,48;172,52
314;2024-07-24;P012;C0130;S012;PR10;1;595;425,22;169,78
315;2022-09-05;P062;C0448;S020;PR08;2;264;135,7;128,3
316;2022-06-05;P052;C0982;S016;PR07;3;448;315,74;132,26
317;2024-12-06;P048;C0804;S008;PR04;5;110;85,99;24,01
318;2023-03-30;P067;C0389;S017;PR04;6;464;296,22;167,78
319;2022-07-20;P046;C0576;S017;PR10;5;252;177,77;74,23
320;2022-05-04;P097;C0263;S007;PR09;1;882;727,01;154,99
321;2022-01-01;P074;C0966;S015;PR10;4;473;264,98;208,02
322;2024-08-25;P095;C0632;S009;PR09;6;368;220,13;147,87
323;2024-05-04;P015;C0278;S004;PR05;4;113;60,86;52,14
324;2023-10-02;P071;C0714;S008;PR07;4;441;297,71;143,29
325;2022-07-10;P036;C0046;S010;PR07;5;734;582,71;151,29
326;2023-05-31;P014;C0168;S015;PR09;8;509;332,03;176,97
327;2023-03-18;P078;C0445;S018;PR07;5;705;369,73;335,27
328;2022-05-23;P003;C0622;S014;PR08;7;143;84,69;58,31
329;2025-04-29;P067;C0046;S005;PR07;8;601;487,65;113,35
330;2023-06-17;P086;C0724;S009;PR04;6;634;440,71;193,29
331;2022-08-15;P019;C0540;S013;PR02;6;252;206,62;45,38
332;2025-08-29;P099;C0087;S019;PR03;2;83;65,74;17,26
333;2024-08-06;P076;C0803;S011;PR07;5;626;403,77;222,23
334;2025-08-18;P054;C0385;S012;PR09;1;182;131,36;50,64
335;2023-04-05;P069;C0669;S003;PR02;9;799;585,31;213,69
336;2025-11-25;P010;C0265;S002;PR07;7;323;245,93;77,07
337;2023-07-05;P033;C0777;S015;PR04;2;338;208,39;129,61
338;2023-01-28;P013;C0022;S005;PR07;6;704;423,21;280,79
339;2024-04-24;P099;C0768;S007;PR05;9;25;18,49;6,51
340;2025-05-15;P051;C0703;S004;PR07;5;320;251,7;68,3
341;2022-07-29;P032;C0450;S005;PR06;3;877;565,65;311,35
342;2025-02-12;P075;C0976;S016;PR02;4;120;73,48;46,52
343;2023-10-08;P024;C0232;S015;PR07;3;435;343,19;91,81
344;2025-06-28;P035;C0186;S016;PR05;1;983;727,85;255,15
345;2022-08-07;P083;C0326;S004;PR09;7;379;235,07;143,93
346;2023-02-11;P070;C0183;S006;PR01;8;150;102,81;47,19
347;2025-10-09;P040;C0397;S018;PR01;2;914;764,38;149,62
348;2024-06-06;P054;C0481;S003;PR02;8;405;308,79;96,21
349;2023-07-12;P044;C0403;S005;PR08;9;39;22,53;16,47
350;2023-07-04;P062;C0463;S002;PR09;7;742;447,62;294,38
351;2022-05-22;P099;C0417;S016;PR07;1;314;186,15;127,85
352;2023-09-04;P068;C0202;S006;PR01;4;415;330,72;84,28
353;2023-05-16;P033;C0065;S015;PR07;7;464;336,17;127,83
354;2024-04-19;P077;C0956;S018;PR08;6;311;257,82;53,18
355;2023-12-03;P056;C0908;S006;PR07;8;509;270,7;238,3
356;2023-08-19;P036;C0555;S013;PR05;6;367;190,18;176,82
357;2022-10-08;P054;C0733;S013;PR07;6;284;209,21;74,79
358;2023-02-28;P019;C0017;S001;PR10;6;784;465,16;318,84
359;2024-05-05;P043;C0836;S016;PR02;7;63;46,48;16,52
360;2022-09-27;P012;C0797;S004;PR09;5;94;70,8;23,2
361;2022-06-03;P011;C0183;S017;PR02;9;72;43,67;28,33
362;2023-09-06;P070;C0391;S018;PR02;7;305;254,2;50,8
363;2023-10-24;P012;C0044;S016;PR05;1;902;695,59;206,41
364;2022-03-24;P091;C0973;S001;PR08;9;85;53,43;31,57
365;2024-08-04;P041;C0901;S006;PR06;6;57;36,72;20,28
366;2024-06-17;P025;C0700;S011;PR09;8;785;589,19;195,81
367;2025-12-20;P003;C0902;S006;PR06;9;825;500,29;324,71
368;2025-07-22;P003;C0482;S017;PR05;2;436;263,07;172,93
369;2022-10-11;P084;C0263;S004;PR01;2;730;524,66;205,34
370;2024-09-06;P028;C0174;S014;PR08;5;767;419,69;347,31
371;2022-06-22;P023;C0441;S014;PR03;5;488;413,66;74,34
372;2025-09-12;P048;C0566;S020;PR02;2;74;44,44;29,56
373;2024-12-22;P067;C0220;S008;PR07;4;863;547,1;315,9
374;2025-01-01;P042;C0558;S002;PR02;9;135;78,1;56,9
375;2024-02-02;P088;C0394;S005;PR01;4;616;446,74;169,26
376;2025-10-30;P040;C0772;S004;PR02;1;298;155,31;142,69
377;2023-09-25;P006;C0195;S010;PR06;5;473;390,1;82,9
378;2024-02-26;P020;C0409;S020;PR02;2;161;97,63;63,37
379;2024-07-31;P011;C0471;S003;PR01;6;627;517,01;109,99
380;2024-10-08;P096;C0347;S016;PR01;1;68;40,03;27,97
381;2023-02-02;P027;C0462;S010;PR04;7;388;263,77;124,23
382;2025-02-17;P021;C0061;S015;PR08;7;389;289,15;99,85
383;2024-07-22;P013;C0166;S004;PR06;4;320;228,61;91,39
384;2025-12-31;P086;C0672;S001;PR04;9;736;500,02;235,98
385;2023-11-07;P035;C0151;S015;PR06;3;942;730,98;211,02
386;2024-07-24;P047;C0111;S010;PR06;5;990;658,03;331,97
387;2023-04-10;P086;C0488;S020;PR09;5;371;228,76;142,24
388;2022-10-13;P028;C0549;S018;PR04;8;214;160,82;53,18
389;2022-09-22;P021;C0003;S016;PR06;4;324;268,29;55,71
390;2022-11-16;P018;C0483;S009;PR10;1;269;191,12;77,88
391;2023-11-04;P031;C0013;S019;PR01;5;277;165,62;111,38
392;2025-10-31;P060;C0162;S017;PR07;1;975;747,81;227,19
393;2024-03-30;P037;C0344;S010;PR07;3;469;359,57;109,43
394;2022-03-30;P021;C0449;S019;PR01;6;890;528,13;361,87
395;2025-05-11;P014;C0332;S008;PR08;1;78;49,5;28,5
396;2024-03-31;P089;C0264;S019;PR05;3;240;131,84;108,16
