EventID;DateKey;CustomerKey;EventType;Channel
164;2023-08-14;C0744;Churn;Mobile
165;2024-02-08;C0909;Repeat;Web
166;2022-12-19;C0118;Return;Mobile
167;2025-01-01;C0530;Churn;Web
168;2023-10-19;C0416;Churn;Mobile
169;2023-04-08;C0417;Repeat;Web
170;2025-07-07;C0826;Repeat;Web
171;2025-01-29;C0638;FirstPurchase;Mobile
172;2022-10-29;C0830;Repeat;Mobile
173;2024-04-17;C0711;Return;Mobile
174;2022-12-05;C0910;Return;Mobile
175;2023-02-11;C0616;Repeat;Mobile
176;2022-04-30;C0112;Repeat;Web
177;2025-11-09;C0014;Return;Web
178;2023-12-14;C0778;FirstPurchase;Store
179;2023-12-02;C0617;FirstPurchase;Store
180;2025-05-01;C0955;Churn;Store
181;2024-06-09;C0500;Return;Mobile
182;2023-02-24;C0807;Churn;Mobile
183;2024-11-14;C0229;FirstPurchase;Mobile
184;2024-07-10;C0686;Repeat;Mobile
185;2024-01-02;C0914;FirstPurchase;Web
186;2023-06-01;C0403;FirstPurchase;Web
187;2025-03-19;C1000;FirstPurchase;Web
188;2024-02-21;C0107;FirstPurchase;Store
189;2023-04-02;C0805;Return;Store
190;2023-08-15;C0239;Return;Web
191;2023-10-01;C0003;Return;Web
192;2024-09-16;C0760;FirstPurchase;Web
193;2024-01-06;C0951;Churn;Web
194;2024-04-17;C0647;Repeat;Web
195;2025-07-04;C0327;Churn;Store
196;2022-05-26;C0757;Return;Mobile
197;2024-10-31;C0564;Return;Mobile
198;2023-08-27;C0438;Return;Web
199;2024-02-19;C0038;Churn;Mobile
200;2022-06-11;C0575;Return;Web
201;2023-08-15;C0832;Return;Web
202;2024-10-10;C0376;FirstPurchase;Mobile
203;2024-02-01;C0006;Return;Mobile
204;2024-01-27;C0714;Return;Mobile
205;2025-07-01;C0640;Churn;Web
206;2023-09-07;C0308;Repeat;Store
207;2024-06-22;C0634;Return;Web
208;2025-05-26;C0122;Repeat;Mobile
209;2024-09-28;C0172;Repeat;Web
210;2024-01-16;C0420;Return;Store
211;2022-05-22;C0933;FirstPurchase;Store
212;2024-08-04;C0320;Return;Web
213;2023-01-28;C0247;Churn;Web
214;2022-08-29;C0944;Return;Store
215;2022-03-24;C0795;FirstPurchase;Mobile
216;2025-10-09;C0621;Return;Mobile
217;2024-05-28;C0193;Churn;Web
218;2025-12-16;C0897;Churn;Mobile
219;2022-05-08;C0432;Repeat;Mobile
220;2024-03-07;C0853;Churn;Web
221;2024-11-17;C0165;Repeat;Mobile
222;2025-06-18;C0251;FirstPurchase;Store
223;2025-09-29;C0348;Churn;Web
224;2025-01-20;C0049;Churn;Store
225;2022-04-16;C0311;Repeat;Mobile
226;2025-02-19;C0039;Churn;Store
227;2025-01-04;C0164;Return;Store
228;2022-12-05;C0194;Repeat;Store
229;2022-09-19;C0450;FirstPurchase;Store
230;2024-02-09;C0068;Churn;Store
231;2023-07-19;C0770;FirstPurchase;Web
232;2022-09-13;C0833;FirstPurchase;Web
233;2024-05-31;C0616;Return;Store
234;2022-12-25;C0274;Repeat;Store
235;2025-08-03;C0681;Repeat;Mobile
236;2022-02-06;C0866;Churn;Web
237;2023-11-27;C0731;FirstPurchase;Web
238;2023-11-11;C0123;Repeat;Mobile
239;2024-01-31;C0740;Churn;Mobile
240;2023-07-21;C0503;Return;Web
241;2023-01-02;C0167;FirstPurchase;Mobile
242;2023-11-16;C0666;Return;Web
243;2022-01-25;C0459;Churn;Store
244;2023-11-13;C0616;FirstPurchase;Web
245;2025-03-15;C0515;Return;Mobile
246;2023-11-01;C0689;FirstPurchase;Web
247;2024-02-25;C0028;Churn;Store
248;2025-08-02;C0996;FirstPurchase;Store
249;2025-11-13;C0144;Return;Web
250;2022-07-16;C0483;Repeat;Store
251;2023-02-21;C0123;Churn;Store
252;2022-01-06;C0116;FirstPurchase;Web
253;2025-08-20;C0022;FirstPurchase;Store
254;2024-05-21;C0336;FirstPurchase;Web
255;2023-01-23;C0609;FirstPurchase;Store
256;2024-10-07;C0333;FirstPurchase;Mobile
257;2024-03-04;C0049;Return;Web
258;2023-11-03;C0509;Return;Mobile
259;2025-06-01;C0284;Churn;Mobile
260;2023-09-18;C0236;Churn;Mobile
261;2022-09-07;C0400;Return;Store
262;2024-09-11;C0064;Repeat;Web
263;2023-11-24;C0188;Return;Web
264;2022-03-06;C0194;Repeat;Mobile
265;2025-11-29;C0026;Return;Mobile
266;2022-10-26;C0170;Churn;Store
267;2024-03-03;C0988;Churn;Web
268;2025-10-22;C0387;FirstPurchase;Web
269;2024-08-20;C0620;Repeat;Store
270;2024-01-03;C0277;Repeat;Web
271;2023-08-21;C0800;Repeat;Mobile
272;2022-05-31;C0710;FirstPurchase;Mobile
273;2022-01-23;C0197;Repeat;Web
274;2024-12-22;C0024;FirstPurchase;Mobile
275;2023-09-03;C0255;FirstPurchase;Web
276;2023-06-11;C0577;FirstPurchase;Web
277;2025-02-14;C0791;FirstPurchase;Store
278;2025-06-21;C0592;Return;Store
279;2023-05-20;C0008;Churn;Web
280;2025-09-22;C0557;Repeat;Mobile
281;2023-08-29;C0473;Churn;Store
282;2022-10-17;C0366;Repeat;Mobile
283;2025-12-21;C0651;Churn;Web
284;2022-08-21;C0569;FirstPurchase;Mobile
285;2023-10-13;C0012;Churn;Web
286;2025-12-03;C0072;FirstPurchase;Mobile
287;2022-08-17;C0906;Churn;Web
288;2023-08-12;C0063;FirstPurchase;Store
289;2024-10-01;C0163;Churn;Store
290;2022-10-17;C0550;FirstPurchase;Mobile
291;2025-10-29;C0277;Repeat;Mobile
292;2025-05-08;C0563;Return;Store
293;2025-03-02;C0914;FirstPurchase;Store
294;2022-11-18;C0402;Churn;Web
295;2023-11-25;C0506;Repeat;Store
296;2024-09-18;C0890;FirstPurchase;Web
297;2023-08-11;C0666;Churn;Store
298;2024-01-12;C0532;Return;Web
299;2022-12-02;C0793;Return;Web
300;2022-06-28;C0479;Churn;Web
301;2023-03-10;C0210;FirstPurchase;Mobile
302;2024-05-22;C0464;Repeat;Web
303;2023-03-14;C0245;Churn;Store
304;2024-02-24;C0429;Return;Store
305;2023-04-25;C0248;Churn;Store
306;2023-04-13;C0954;Churn;Web
307;2023-02-23;C0786;Repeat;Mobile
308;2023-06-26;C0048;Repeat;Web
309;2022-06-24;C0014;Churn;Mobile
310;2025-08-14;C0391;Churn;Mobile
311;2022-10-05;C0764;Repeat;Store
312;2022-01-31;C0678;Repeat;Store
313;2022-02-20;C0113;FirstPurchase;Store
314;2024-09-10;C0064;FirstPurchase;Web
315;2024-05-05;C0285;FirstPurchase;Store
316;2023-08-24;C0087;FirstPurchase;Store
317;2023-09-28;C0495;Churn;Web
318;2022-06-08;C0746;Churn;Web
319;2025-01-28;C0249;FirstPurchase;Mobile
320;2025-03-11;C0625;Churn;Mobile
321;2022-04-27;C0226;Repeat;Web
322;2022-02-08;C0183;Repeat;Web
323;2022-12-14;C0081;FirstPurchase;Mobile
324;2024-09-11;C0941;Churn;Store
325;2025-04-04;C0978;Repeat;Mobile
326;2025-02-04;C0787;Churn;Store
327;2024-04-22;C0386;Repeat;Mobile
328;2024-02-25;C0093;Churn;Store
329;2025-09-08;C0706;Repeat;Mobile
330;2025-03-24;C0466;Repeat;Store
331;2025-02-19;C0487;Repeat;Mobile
332;2024-11-12;C0106;FirstPurchase;Web
333;2022-02-04;C0612;Churn;Mobile
334;2025-06-07;C0036;FirstPurchase;Web
335;2023-05-06;C0696;Churn;Mobile
336;2022-05-21;C0149;Repeat;Web
337;2025-11-06;C0737;Return;Mobile
338;2025-07-29;C0575;FirstPurchase;Mobile
339;2022-07-25;C0386;Repeat;Web
340;2025-04-01;C0383;FirstPurchase;Web
341;2025-12-19;C0202;Return;Web
342;2022-05-14;C0655;Churn;Store
343;2024-09-29;C0446;Churn;Mobile
344;2023-08-07;C0268;Return;Store
345;2023-07-18;C0259;Return;Store
346;2024-06-22;C0254;Churn;Store
347;2022-03-21;C0900;Return;Store
348;2025-01-21;C0265;Repeat;Web
349;2022-03-05;C0430;FirstPurchase;Web
350;2023-05-25;C0554;FirstPurchase;Store
351;2025-08-01;C0714;FirstPurchase;Store
352;2025-12-13;C0031;FirstPurchase;Web
353;2024-03-26;C0165;FirstPurchase;Web
354;2023-12-15;C0779;FirstPurchase;Store
355;2022-07-12;C0701;Churn;Store
356;2023-03-29;C0283;Churn;Web
357;2025-10-14;C0942;FirstPurchase;Web
358;2024-10-20;C0070;FirstPurchase;Mobile
359;2024-10-06;C0235;Return;Mobile
360;2023-02-02;C0094;Return;Mobile
361;2022-06-23;C0299;Return;Mobile
362;2024-11-16;C0995;FirstPurchase;Store
363;2023-02-17;C0813;Return;Web
364;2025-07-04;C0914;FirstPurchase;Store
365;2023-10-05;C0818;Churn;Mobile
366;2023-06-22;C0262;Repeat;Mobile
367;2023-02-09;C0141;Churn;Store
368;2022-10-28;C0230;FirstPurchase;Store
369;2023-09-20;C0780;FirstPurchase;Web
370;2024-01-21;C0263;Churn;Mobile
371;2023-12-25;C0654;Churn;Mobile
372;2025-12-07;C0713;Return;Store
373;2024-11-07;C0099;Return;Web
374;2024-08-04;C0303;Repeat;Store
375;2023-09-15;C0263;Return;Store
376;2022-05-08;C0551;Return;Store
377;2022-04-24;C0696;Return;Mobile
378;2022-05-26;C0213;Repeat;Web
379;2024-07-21;C0403;Return;Store
380;2024-06-06;C0635;Return;Store
381;2025-04-29;C0283;Churn;Web
382;2024-09-07;C0061;Churn;Mobile
383;2023-09-12;C0578;Return;Store
384;2025-03-20;C0820;Churn;Store
385;2024-03-02;C0440;FirstPurchase;Mobile
386;2023-04-12;C0910;Churn;Mobile
387;2022-06-03;C0357;Repeat;Mobile
388;2022-08-13;C0801;Return;Store
389;2023-05-19;C0108;FirstPurchase;Mobile
390;2023-07-20;C0140;Churn;Store
391;2023-11-04;C0243;FirstPurchase;Mobile
392;2024-12-16;C0341;FirstPurchase;Store
393;2023-01-28;C0606;Return;Mobile
394;2022-04-11;C0342;FirstPurchase;Store
395;2022-07-22;C0834;Repeat;Web
396;2022-02-28;C0989;FirstPurchase;Mobile
397;2025-05-17;C0664;Return;Mobile
398;2022-01-16;C0224;Repeat;Web
399;2024-06-19;C0173;Repeat;Store
400;2024-02-05;C0716;Repeat;Web
401;2024-06-24;C0759;Repeat;Web
402;2025-09-18;C0183;FirstPurchase;Store
403;2023-07-24;C0891;Churn;Mobile
404;2023-08-05;C0455;Churn;Mobile
405;2024-01-11;C0565;Churn;Mobile
406;2025-09-05;C0962;Churn;Web
407;2025-05-16;C0872;Churn;Store
408;2024-04-17;C0787;Return;Mobile
409;2024-01-03;C0691;Churn;Store
410;2025-11-07;C0850;Return;Web
411;2022-10-08;C0098;Churn;Mobile
412;2024-02-18;C0638;Churn;Web
413;2025-10-04;C0194;Repeat;Store
414;2024-05-02;C0557;FirstPurchase;Mobile
415;2022-11-15;C0384;Repeat;Mobile
416;2024-06-14;C0358;Churn;Mobile
417;2023-10-28;C0424;Return;Mobile
418;2024-11-30;C0723;Churn;Web
419;2022-11-05;C0390;Churn;Web
420;2024-09-23;C0947;FirstPurchase;Store
421;2023-12-16;C0681;Repeat;Mobile
422;2022-06-01;C0943;FirstPurchase;Store
423;2024-04-28;C0145;Repeat;Web
424;2023-04-01;C0919;Repeat;Store
425;2022-04-04;C0552;Churn;Web
426;2025-11-15;C0841;Repeat;Mobile
427;2023-10-02;C0510;Repeat;Store
428;2025-06-06;C0421;FirstPurchase;Mobile
429;2023-08-08;C0870;Repeat;Web
430;2022-03-24;C0085;FirstPurchase;Store
431;2022-07-11;C0698;Repeat;Store
432;2023-04-01;C0917;FirstPurchase;Mobile
433;2024-05-29;C0923;Churn;Mobile
434;2022-02-15;C0907;Repeat;Mobile
435;2023-04-07;C0551;FirstPurchase;Store
436;2024-01-02;C0734;FirstPurchase;Web
437;2023-09-03;C0703;Churn;Mobile
438;2024-08-24;C0028;Churn;Mobile
439;2024-03-08;C0852;FirstPurchase;Web
440;2022-04-11;C0175;FirstPurchase;Store
441;2023-10-18;C0237;FirstPurchase;Store
442;2022-08-23;C0559;Repeat;Web
443;2025-08-29;C0110;Repeat;Mobile
444;2024-08-18;C0486;FirstPurchase;Store
445;2025-10-17;C0388;Churn;Mobile
446;2024-04-08;C0189;Churn;Mobile
447;2024-08-16;C0274;Return;Web
448;2022-09-02;C0690;Return;Store
449;2022-09-05;C0508;Churn;Web
450;2024-10-11;C0605;Repeat;Store
451;2022-09-20;C0932;Churn;Mobile
452;2025-04-01;C0603;Churn;Mobile
453;2025-05-05;C0245;FirstPurchase;Store
454;2023-11-15;C0513;Churn;Store
455;2023-09-10;C0035;Return;Mobile
456;2023-04-28;C0261;Repeat;Mobile
457;2022-07-27;C0628;Return;Web
458;2024-09-02;C0262;Repeat;Mobile
459;2022-05-16;C0060;Return;Mobile
460;2025-11-05;C0100;FirstPurchase;Store
461;2022-08-11;C0645;FirstPurchase;Web
462;2024-11-09;C0236;Repeat;Web
463;2022-10-13;C0672;FirstPurchase;Store
464;2023-03-22;C0935;Repeat;Store
465;2025-09-18;C0255;Churn;Web
466;2024-11-15;C0749;Repeat;Store
467;2023-07-27;C0607;Return;Store
468;2023-07-11;C0040;Repeat;Web
469;2024-03-24;C0237;Churn;Store
470;2024-03-02;C0236;Churn;Store
471;2022-11-29;C0810;Churn;Web
472;2022-04-25;C0074;FirstPurchase;Web
473;2024-11-05;C0735;FirstPurchase;Store
474;2025-09-23;C0904;Return;Mobile
475;2022-05-24;C0859;FirstPurchase;Mobile
476;2024-04-13;C0029;Repeat;Store
477;2023-10-03;C0444;Churn;Store
478;2023-08-09;C0846;FirstPurchase;Mobile
479;2024-11-03;C0023;FirstPurchase;Web
480;2022-07-28;C0516;Return;Mobile
481;2024-09-04;C0244;FirstPurchase;Mobile
482;2023-10-09;C0546;FirstPurchase;Web
483;2024-11-10;C0617;Churn;Store
484;2025-01-19;C0678;Return;Web
485;2024-06-18;C0829;Churn;Store
486;2024-11-11;C0027;FirstPurchase;Store
487;2023-02-14;C0083;Repeat;Mobile
488;2025-03-25;C0159;Churn;Web
489;2024-07-03;C0899;Repeat;Store
490;2025-03-28;C0477;Repeat;Web
491;2024-02-21;C0845;Churn;Store
492;2022-03-28;C0667;Return;Web
493;2025-09-22;C0171;Repeat;Web
494;2023-02-11;C0956;Churn;Store
495;2023-12-22;C0608;FirstPurchase;Web
496;2023-06-04;C0814;Churn;Store
497;2023-11-09;C0753;FirstPurchase;Store
498;2022-01-10;C0805;Return;Web
499;2022-01-30;C0633;Repeat;Mobile
500;2024-02-14;C0195;Return;Web
501;2025-07-05;C0231;Return;Store
502;2022-10-05;C0646;Repeat;Store
503;2025-03-02;C0571;FirstPurchase;Store
504;2025-05-05;C0131;Churn;Web
505;2023-07-22;C0500;FirstPurchase;Mobile
506;2022-10-03;C0461;Repeat;Mobile
507;2023-04-22;C0907;FirstPurchase;Store
508;2022-07-17;C0027;FirstPurchase;Store
509;2025-09-09;C0245;FirstPurchase;Mobile
510;2023-04-29;C0130;Repeat;Store
511;2025-04-23;C0320;Return;Store
512;2024-11-06;C0232;Churn;Store
513;2022-03-20;C0172;Return;Store
514;2022-01-27;C0588;Churn;Mobile
515;2025-09-24;C0567;Repeat;Mobile
516;2024-01-17;C0239;Repeat;Mobile
517;2023-04-21;C0633;FirstPurchase;Web
518;2022-04-21;C0936;Churn;Mobile
519;2023-01-06;C0332;Return;Store
520;2023-01-04;C0407;Churn;Web
521;2023-12-10;C0704;Churn;Store
522;2022-01-13;C0991;Repeat;Store
523;2023-09-17;C0953;Churn;Web
524;2023-09-02;C0522;FirstPurchase;Store
525;2023-07-22;C0291;Return;Store
526;2025-02-01;C0646;Churn;Web
527;2022-08-20;C0601;Churn;Mobile
528;2022-06-21;C0991;FirstPurchase;Store
529;2023-04-14;C0767;Return;Mobile
530;2025-08-08;C0182;Return;Store
531;2025-05-13;C0734;FirstPurchase;Store
532;2023-07-02;C0380;Repeat;Store
533;2022-05-09;C0719;Return;Web
534;2025-04-09;C0835;Repeat;Mobile
535;2024-06-23;C0082;FirstPurchase;Store
536;2023-05-12;C0632;Churn;Mobile
537;2022-12-29;C0824;Churn;Store
538;2024-05-23;C0337;FirstPurchase;Web
539;2024-09-03;C0060;Return;Mobile
540;2022-07-14;C0782;Repeat;Web
541;2023-06-28;C0686;FirstPurchase;Mobile
542;2023-01-15;C0784;Churn;Mobile
543;2024-09-21;C0371;Churn;Mobile
544;2025-08-30;C0283;Return;Store
545;2025-12-30;C0747;Return;Web
546;2022-07-17;C0421;Repeat;Store
547;2025-09-30;C0993;Repeat;Store
548;2022-10-11;C0061;Repeat;Web
549;2022-08-19;C0886;FirstPurchase;Mobile
550;2023-11-11;C0404;Repeat;Web
551;2023-04-09;C0793;FirstPurchase;Store
552;2024-07-04;C0178;FirstPurchase;Store
553;2024-09-01;C0570;Return;Mobile
554;2022-04-25;C0590;FirstPurchase;Store
555;2022-03-17;C0421;Return;Store
556;2022-10-20;C0133;Repeat;Store
557;2022-03-18;C0822;FirstPurchase;Store
558;2025-10-05;C0805;Repeat;Store
559;2025-10-26;C0330;FirstPurchase;Store
560;2022-11-19;C0010;FirstPurchase;Web
561;2025-04-18;C0265;Return;Store
562;2025-12-13;C0846;Repeat;Mobile
563;2023-01-03;C0289;FirstPurchase;Mobile
564;2023-01-31;C0989;Churn;Web
565;2024-01-24;C0408;FirstPurchase;Store
566;2023-06-25;C0070;Repeat;Web
567;2022-10-13;C0507;Return;Web
568;2025-09-22;C0057;Churn;Mobile
569;2022-11-05;C0538;Repeat;Mobile
570;2022-08-07;C0679;FirstPurchase;Web
571;2024-02-29;C0172;Return;Store
572;2024-08-13;C0320;Return;Mobile
573;2024-03-27;C0495;Repeat;Store
574;2024-08-02;C0432;FirstPurchase;Store
575;2023-01-26;C0195;Churn;Web
576;2022-02-15;C0048;Repeat;Web
577;2022-01-11;C0552;Churn;Store
578;2022-01-16;C0174;Return;Mobile
579;2025-04-20;C0352;Return;Mobile
580;2023-07-02;C0986;Return;Mobile
581;2024-12-10;C0771;Churn;Mobile
582;2022-05-30;C0972;FirstPurchase;Store
583;2023-02-25;C0398;Repeat;Mobile
584;2025-07-06;C0765;Repeat;Mobile
585;2025-08-07;C0723;Repeat;Web
586;2023-09-17;C0260;Churn;Mobile
587;2025-10-17;C0767;FirstPurchase;Web
588;2023-03-01;C0652;Return;Mobile
589;2022-10-21;C0995;Return;Web
590;2024-06-04;C0511;Churn;Store
591;2022-06-11;C0374;Repeat;Mobile
592;2023-06-07;C0763;FirstPurchase;Web
593;2025-05-15;C0919;FirstPurchase;Mobile
594;2022-09-27;C0240;FirstPurchase;Store
595;2024-10-01;C0643;FirstPurchase;Store
596;2022-12-03;C0003;FirstPurchase;Store
597;2025-12-06;C0637;Repeat;Store
598;2025-01-30;C0743;Return;Mobile
599;2024-10-17;C0298;Repeat;Store
600;2023-07-26;C0249;Return;Mobile
601;2023-06-30;C0464;Repeat;Store
602;2024-12-24;C0973;Return;Mobile
603;2025-05-23;C0147;Repeat;Store
604;2022-12-27;C0156;Churn;Store
605;2024-01-17;C0294;FirstPurchase;Web
606;2025-08-28;C0117;FirstPurchase;Store
607;2024-12-29;C0504;Repeat;Mobile
608;2024-10-30;C0649;Repeat;Web
609;2022-08-04;C0696;FirstPurchase;Store
610;2024-04-23;C0110;Churn;Store
611;2022-07-10;C0913;Return;Web
612;2022-08-07;C0647;Return;Mobile
613;2025-12-03;C0456;Churn;Web
614;2025-05-10;C0613;FirstPurchase;Web
615;2025-11-05;C0628;Repeat;Store
616;2025-05-25;C0119;Return;Mobile
617;2022-04-16;C0716;Return;Mobile
618;2022-02-25;C0054;Return;Web
619;2025-03-23;C0540;FirstPurchase;Web
620;2024-12-27;C0384;Repeat;Store
621;2023-08-25;C0450;FirstPurchase;Store
622;2024-10-31;C0240;FirstPurchase;Web
623;2023-03-13;C0256;Return;Web
624;2024-03-10;C0156;Repeat;Mobile
625;2023-11-30;C0025;FirstPurchase;Web
626;2023-02-18;C0254;FirstPurchase;Store
627;2022-08-19;C0859;Churn;Web
628;2022-05-17;C0099;Churn;Mobile
629;2023-02-05;C0719;Repeat;Mobile
630;2024-02-18;C0689;Return;Mobile
631;2023-07-23;C0944;FirstPurchase;Mobile
632;2024-09-08;C0380;Churn;Mobile
633;2022-02-19;C0227;Repeat;Store
634;2023-04-25;C0943;Return;Mobile
635;2023-08-08;C0574;Churn;Store
636;2024-04-28;C0417;Return;Store
637;2024-12-12;C0492;Return;Mobile
638;2023-08-24;C0170;Churn;Mobile
639;2022-07-27;C0599;FirstPurchase;Store
640;2022-04-20;C0539;Churn;Store
